"","Country","peaceavg","peacerank","justavg","justrank","instavg","instrank","econavg","econrank","resilavg","resilrank"
"228","Sudan",72.8645241333039,243,20.8560372739477,11,19.5766114881881,138,31.0060177354868,225,48.5187392819361,52
"229","Sudan",72.8645241333039,243,20.8560372739477,11,19.5766114881881,138,9.09662752714752,33,48.5187392819361,52
"230","Sudan",72.8645241333039,243,20.8560372739477,11,19.5766114881881,138,9.09662752714752,33,48.5187392819361,52
"231","Sudan",72.8645241333039,243,20.8560372739477,11,19.5766114881881,138,26.2031819481392,152,48.5187392819361,52
"232","Sudan",72.8645241333039,243,20.8560372739477,11,19.5766114881881,138,26.2031819481392,152,48.5187392819361,52
"233","Sudan",72.8645241333039,243,20.8560372739477,11,19.5766114881881,138,15.4255319148936,69,48.5187392819361,52
"234","Sudan",72.8645241333039,243,20.8560372739477,11,19.5766114881881,138,15.4255319148936,69,48.5187392819361,52
"235","Sudan",66.930209098151,11,21.2142236662493,75,16.670667949279,6,31.0060177354868,225,48.5187392819361,52
"236","Sudan",66.930209098151,11,21.2142236662493,75,16.670667949279,6,31.0060177354868,225,48.5187392819361,52
"237","Sudan",72.8645241333039,243,20.8560372739477,11,19.5766114881881,138,16.0115211441688,101,48.5187392819361,52
"238","Sudan",72.8645241333039,243,20.8560372739477,11,19.5766114881881,138,16.0115211441688,101,48.5187392819361,52
"239","Sudan",72.8645241333039,243,20.8560372739477,11,19.5766114881881,138,30.8131110261534,193,48.5187392819361,52
"240","Sudan",72.8645241333039,243,20.8560372739477,11,19.5766114881881,138,30.8131110261534,193,48.5187392819361,52
"241","Sudan",71.4375679488643,177,29.0193025800702,150,19.5766114881881,138,1.59574468085107,1,48.5187392819361,52
"242","Sudan",71.4375679488643,177,29.0193025800702,150,19.5766114881881,138,1.59574468085107,1,48.5187392819361,52
"243","Sudan",71.4375679488643,177,29.0193025800702,150,19.5766114881881,138,31.0060177354868,225,48.5187392819361,52
"244","Sudan",71.4375679488643,177,29.0193025800702,150,19.5766114881881,138,31.0060177354868,225,48.5187392819361,52
"245","Sudan",71.4375679488643,177,29.0193025800702,150,19.5766114881881,138,9.09662752714752,33,48.5187392819361,52
"246","Sudan",71.4375679488643,177,29.0193025800702,150,19.5766114881881,138,9.09662752714752,33,48.5187392819361,52
"247","Sudan",70.4222725902145,142,20.8560372739477,11,19.5766114881881,138,26.2031819481392,152,48.5187392819361,52
"248","Sudan",70.4222725902145,142,20.8560372739477,11,19.5766114881881,138,26.2031819481392,152,48.5187392819361,52
"249","Sudan",71.4375679488643,177,29.0193025800702,150,19.5766114881881,138,15.4255319148936,69,48.5187392819361,52
"250","Sudan",71.4375679488643,177,29.0193025800702,150,19.5766114881881,138,15.4255319148936,69,48.5187392819361,52
"251","Sudan",71.4375679488643,177,29.0193025800702,150,19.5766114881881,138,37.9209113525081,279,48.5187392819361,52
"252","Sudan",71.4375679488643,177,29.0193025800702,150,19.5766114881881,138,37.9209113525081,279,48.5187392819361,52
"253","Sudan",70.4222725902145,142,20.8560372739477,11,19.5766114881881,138,9.09662752714752,33,48.5187392819361,52
"254","Sudan",70.4222725902145,142,20.8560372739477,11,19.5766114881881,138,9.09662752714752,33,48.5187392819361,52
"255","Sudan",71.4375679488643,177,29.0193025800702,150,19.5766114881881,138,30.8131110261534,193,48.5187392819361,52
"256","Sudan",71.4375679488643,177,29.0193025800702,150,19.5766114881881,138,30.8131110261534,193,48.5187392819361,52
"257","Sudan",72.8645241333039,243,29.0193025800702,150,19.5766114881881,138,1.59574468085107,1,48.5187392819361,52
"258","Sudan",72.8645241333039,243,29.0193025800702,150,19.5766114881881,138,1.59574468085107,1,48.5187392819361,52
"259","Sudan",72.8645241333039,243,29.0193025800702,150,19.5766114881881,138,31.0060177354868,225,48.5187392819361,52
"260","Sudan",72.8645241333039,243,29.0193025800702,150,19.5766114881881,138,31.0060177354868,225,48.5187392819361,52
"261","Sudan",67.9455044568008,43,21.2142236662493,75,16.670667949279,6,9.09662752714752,33,48.5187392819361,52
"262","Sudan",67.9455044568008,43,21.2142236662493,75,16.670667949279,6,9.09662752714752,33,48.5187392819361,52
"263","Sudan",67.9455044568008,43,21.2142236662493,75,16.670667949279,6,26.2031819481392,152,48.5187392819361,52
"264","Sudan",67.9455044568008,43,21.2142236662493,75,16.670667949279,6,26.2031819481392,152,48.5187392819361,52
"265","Sudan",72.8645241333039,243,29.0193025800702,150,19.5766114881881,138,15.4255319148936,69,48.5187392819361,52
"266","Sudan",72.8645241333039,243,29.0193025800702,150,19.5766114881881,138,15.4255319148936,69,48.5187392819361,52
"267","Sudan",67.9455044568008,43,21.2142236662493,75,16.670667949279,6,37.9209113525081,279,48.5187392819361,52
"268","Sudan",67.9455044568008,43,21.2142236662493,75,16.670667949279,6,37.9209113525081,279,48.5187392819361,52
"269","Sudan",67.9455044568008,43,21.2142236662493,75,16.670667949279,6,16.0115211441688,101,48.5187392819361,52
