"","Country","BattleDeaths","InterpersonalInjuries","PolStability","Voice","GovEffect","RegQuality","RuleofLaw","Corruption","BirthRegistration","IC.BUS.EASE.XQ","BLeducationyears","tenyearavg","SI.POV.GINI","Health.Care.Capabilities","WorldRiskIndex"
"272","Sudan",1269,99,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,160,2.53,7.34209090909091,35.29,1,8.08
"273","Sudan",1269,99,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,160,2.53,7.34209090909091,35.29,1,8.08
"274","Sudan",576,99,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,35,186,NA,NA,35.29,1,8.08
"275","Sudan",576,99,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,35,186,NA,NA,35.29,1,8.08
"276","Sudan",576,99,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,35,186,NA,7.34209090909091,35.29,1,8.08
"277","Sudan",576,99,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,35,186,NA,7.34209090909091,35.29,1,8.08
"278","Sudan",576,99,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,35,186,2.53,NA,35.29,1,8.08
"279","Sudan",576,99,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,35,186,2.53,NA,35.29,1,8.08
"280","Sudan",576,99,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,35,186,2.53,7.34209090909091,35.29,1,8.08
"281","Sudan",576,99,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,35,186,2.53,7.34209090909091,35.29,1,8.08
"282","Sudan",576,99,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,35,160,NA,NA,35.29,1,8.08
"283","Sudan",576,99,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,35,160,NA,NA,35.29,1,8.08
"284","Sudan",1269,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,35,186,NA,7.34209090909091,35.29,1,8.08
"285","Sudan",1269,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,35,186,NA,7.34209090909091,35.29,1,8.08
"286","Sudan",576,99,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,35,160,2.53,NA,35.29,1,8.08
"287","Sudan",576,99,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,35,160,2.53,NA,35.29,1,8.08
"288","Sudan",576,99,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,35,160,2.53,7.34209090909091,35.29,1,8.08
"289","Sudan",576,99,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,35,160,2.53,7.34209090909091,35.29,1,8.08
