"","Country","BattleDeaths","InterpersonalInjuries","PolStability","Voice","GovEffect","RegQuality","RuleofLaw","Corruption","BirthRegistration","DTF2012rank","BLeducationyears","tenyearavg","SI.POV.GINI","Health.Care.Capabilities","Vulnerability"
"203","Spain",NA,0.000564645492460699,-0.01,1.05,1.04,1.11,0.94,1.04,100,33,10.27,1.40554545454545,35.75,5,31.27
"204","Sri Lanka",NA,0.00433690397194047,-0.7,-0.24,-0.11,-0.24,-0.12,-0.59,97,101,10.06,5.86127272727273,36.4,3,50.26
"205","Sudan",1540,0.00731012232826993,-2.27,-1.51,-1.21,-1.46,-1.51,-1.77,59,143,3.21,7.34209090909091,35.29,1,68.15
"206","Suriname",NA,0.00299065420560748,0.09,-0.37,-0.1,0.01,-0.38,0.29,99,168,NA,4.964,52.88,1,46.48
"207","Svalbard and Jan Mayen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Swaziland",NA,0.0220958570268075,-0.42,-0.36,-0.46,-0.57,-0.56,-1.21,50,111,5.06,2.26190909090909,51.49,2,60.03
"209","Sweden",NA,0.000725475764903796,1.16,2.31,1.93,1.94,1.89,1.71,100,11,11.64,2.23663636363636,26.08,5,27.49
"210","Switzerland",NA,0.000525196948855821,1.4,2.15,1.81,1.88,1.66,1.67,100,24,13.02,1.72172727272727,32.35,5,25.98
"211","Syrian Arab Republic",15056,0.00200091365920512,-2.69,-1.17,-1.1,-1.22,-1.56,-1.8,96,139,6.7,4.31845454545455,35.78,3,52.82
"212","Taiwan, Province of China",NA,NA,0.89,0.72,1.04,1.14,1.19,0.84,NA,18,NA,4.236,NA,NA,NA
"213","Tajikistan",NA,0.00184792108877513,-1.17,-1.18,-1.18,-0.93,-1.01,-1.39,88,164,10.3,7.69090909090909,30.77,1,55.22
"214","Tanzania, United Republic of",NA,0.00816817696670364,0.02,-0.81,-0.56,-0.69,-0.4,-0.19,16,127,5.81,7.00154545454545,37.82,2,67.51
"215","Thailand",132,0.00389009508123082,-1.21,-0.34,-0.17,0.21,0.23,-0.34,99,25,7.99,4.37036363636364,39.37,4,46.61
"216","Timor-Leste",NA,0.00251346499102334,-0.27,-0.98,-1.2,-1.19,-1.02,0.06,55,175,NA,6.462,30.41,1,63.76
"217","Togo",NA,0.00693963570675899,-0.41,-1.02,-0.93,-1.32,-0.86,-1.04,78,173,5.49,3.12045454545455,45.96,1,67.31
"218","Tokelau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Tonga",NA,NA,0.93,-0.07,0.03,-0.19,-0.6,0.39,NA,68,10.82,1.15,NA,NA,51.08
"220","Trinidad and Tobago",NA,0.0262528047868362,0.12,-0.29,-0.19,0.4,0.22,0.46,97,76,10.63,4.76118181818182,40.27,3,42.74
"221","Tunisia",NA,0.00144367816091954,-0.74,-0.15,-0.15,-0.02,-0.21,-0.21,99,47,7.48,3.73245454545455,35.79,3,43.96
"222","Turkey",811,0.00222576590942876,-1.19,0.17,0.04,0.4,0.42,-0.23,94,57,7.05,5.14963636363636,40.04,3,43.59
"223","Turkmenistan",NA,0.00788710612797216,0.34,-1.34,-1.38,-1.29,-2.1,-2.21,NA,NA,NA,12.5865454545455,40.77,2,51.24
"224","Turks and Caicos Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Tuvalu",NA,NA,1.32,-0.3,0.46,-0.69,-1.25,0.7,50,NA,NA,1.59172727272727,NA,2,NA
"226","Uganda",NA,0.0122269300610796,-0.88,-0.98,-0.36,-0.56,-0.24,-0.48,30,149,5.7,6.714,44.55,2,65.9
"227","Ukraine",NA,0.00267515923566879,-0.1,-1.03,-0.79,-0.58,-0.61,-0.29,100,150,11.15,3.80409090909091,24.82,3,41.42
"228","United Arab Emirates",NA,0.00208559635020639,0.87,1.18,0.56,1.14,0.67,-1.01,100,31,9.07,4.34763636363636,NA,4,32.27
"229","United Kingdom",NA,0.000551104598378542,0.41,1.64,1.69,1.53,1.64,1.32,100,6,12.24,1.45,38.04,5,30.49
"230","United States",221,0.00325223224831105,0.63,1.38,1.6,1.51,1.29,1.13,100,5,13.18,1.77772727272727,41.12,5,31.67
"231","Uruguay",NA,0.00321060382916053,0.71,1.32,0.54,0.44,0.4,1.03,100,78,8.17,4.21009090909091,41.32,3,36.05
"232","Uzbekistan",NA,0.0021723135138923,-0.52,-1.23,-1.27,-0.94,-1.61,-2.01,100,160,NA,7.42727272727273,35.19,2,53.61
"233","Vanuatu",NA,NA,1.22,0.45,0.24,-0.22,-0.77,0.47,43,75,NA,3.30818181818182,NA,2,57.34
"234","Venezuela, Bolivarian Republic of",NA,0.0298280754465031,-1,-1.24,-1.69,-1.14,-1.54,-0.92,81,182,8.41,3.72809090909091,44.77,4,44.48
"235","Viet Nam",NA,0.0020166086611745,0.24,-0.56,-0.5,-0.29,-0.68,-1.39,95,102,7.15,6.62127272727273,35.62,2,51.64
"236","Virgin Islands, British",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Virgin Islands, U.S.",NA,NA,0.78,0.82,0.88,1.26,0.59,0.84,NA,NA,NA,NA,NA,NA,NA
"238","Wallis and Futuna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Western Sahara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"240","Yemen",2311,0.00212980043602214,-2.41,-1.23,-1.27,-1.28,-0.7,-1.39,17,131,3.68,4.28836363636364,35.91,1,67.18
